airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ah93w145,ok,,54.578239736,1393904683.9,3918297.5623,15082657.463,429846138.6,3323985.0454,110226584.7,0.0,0.0,0.0,-8.193907418e-09,2.1475505341e-09,1.7883931396e-11,1.111861585e-08,0.0,0.0,-1.12377761e-08,0.0,0.0,0.0,0.0,-2.7167382628e-09,0.22854112271,0.025174725538,0.044032950697,0.043566045381
ah93w257,ok,,57.149841391,1459582280.1,10990546.668,41615117.392,432972235.53,9990514.965,121862940.8,0.0,0.0,0.0,-1.3327358462e-10,1.8425510569e-09,-5.0136008766e-10,5.8013638562e-10,0.0,0.0,-2.1699460075e-10,0.0,0.0,0.0,0.0,2.2337829584e-09,0.22477925128,0.0063512374751,0.0023848892861,0.0063760160197
ah93w480b,ok,,69.122382019,1765355799.8,64751947.47,145907629.88,470962754.21,59576092.995,195367317.09,0.0,0.0,0.0,-4.2217575363e-10,1.365098396e-09,-1.8153784956e-11,5.3809649949e-10,0.0,0.0,-3.7359338659e-09,0.0,0.0,0.0,0.0,-2.7666647206e-10,0.26523182508,0.020787973437,0.24190899343,0.034842796269
ah94156,ok,,54.003524387,1379226702.0,5168738.4211,18620849.911,423830843.25,4226131.9919,106438707.32,0.0,0.0,0.0,-6.4701885184e-09,2.1713306735e-09,-5.13037266e-10,8.1457671989e-09,0.0,0.0,-2.380268347e-08,0.0,0.0,0.0,0.0,-2.416060249e-09,0.22405672246,0.025058840335,0.12302984458,0.042103339891
ah94145,ok,,54.157672891,1383163588.2,4171461.7311,17204253.396,424573283.52,3678996.3343,107221414.78,0.0,0.0,0.0,-1.0503903281e-08,2.165657572e-09,-7.9491438815e-10,1.5245619751e-08,0.0,0.0,-1.9442410528e-08,0.0,0.0,0.0,0.0,-2.3618564766e-09,0.2224004892,0.036714196466,0.081103271478,0.063596519356
ames01,ok,,54.552717408,1393252854.7,2311856.1363,7992229.5877,434999817.95,1775899.8527,111423515.34,0.0,0.0,0.0,-6.566041484e-09,2.1826253475e-09,1.0896109379e-09,6.9568904884e-09,0.0,0.0,-2.5454874146e-08,0.0,0.0,0.0,0.0,-6.9813368664e-09,0.23408716281,0.008759751674,0.058848006994,0.016083329965
ah95160,ok,,54.892388798,1401927915.3,5056463.7756,19966690.17,428331341.07,4454739.997,111141061.01,0.0,0.0,0.0,-8.6904116028e-09,2.1235496457e-09,-4.9656443668e-10,1.2617603122e-08,0.0,0.0,-1.5077520419e-08,0.0,0.0,0.0,0.0,-2.3394827477e-09,0.22592084905,0.03636314004,0.076238935824,0.063800453122
amsoil1,ok,,54.58774903,1394147547.2,2897997.7316,10132512.938,433973962.05,2279113.2378,111308009.59,0.0,0.0,0.0,-6.3986095058e-09,2.096250551e-09,-4.4083038667e-10,8.4687834304e-09,0.0,0.0,-2.8514672473e-08,0.0,0.0,0.0,0.0,-1.3341177077e-09,0.23116170487,0.013880415129,0.082635456142,0.02454251517
ames02,ok,,53.513548947,1366712940.7,1159407.3134,4392925.845,430847282.75,873113.34285,106233066.39,0.0,0.0,0.0,-5.7700699677e-09,2.1564615574e-09,7.0225527968e-12,5.3108645032e-09,0.0,0.0,-3.0428954844e-08,0.0,0.0,0.0,0.0,-9.3904138673e-10,0.22858479898,0.0048505140743,0.035279552785,0.0061574551455
apex16,ok,,54.175418212,1383616796.1,3163747.407,11112755.185,428703977.12,2554930.7123,108303339.72,0.0,0.0,0.0,-7.6898488266e-09,2.1242392927e-09,-1.3481728238e-09,9.4222287104e-09,0.0,0.0,-3.811820025e-08,0.0,0.0,0.0,0.0,1.0302948862e-09,0.23225287881,0.020258541403,0.1205963572,0.029809551651
