airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ua79sff,ok,,32.860475063,344174726.2,3596830.0313,15951398.34,150066620.85,2482775.8998,29564022.934,-2.1408180705e-09,4.6138812506e-09,-1.6397702977e-08,-1.3829526149e-08,6.9585076548e-09,-5.5644021624e-10,1.9719125383e-08,2.5981710122e-08,-2.5879028055e-10,5.6910843735e-09,-1.9218436183e-09,2.3775801048e-08,-3.3301799528e-09,-3.7633475456e-09,5.0571261454e-09,0.21081955196,0.036988970525,-0.020469863185,0.070926342367
ultimate,ok,,31.462601955,328912572.94,1148235.2992,3781417.0404,152215027.14,606755.7483,27318172.658,8.8122442111e-11,1.4900681838e-08,-2.9553871293e-08,1.0612229593e-09,8.9731863802e-09,7.490218959e-10,-4.9813689119e-10,5.6781593329e-08,-5.7178297288e-12,-6.1187848258e-08,-4.1292404403e-11,5.3436052702e-08,-2.1592440197e-12,-4.186532412e-09,-4.4414280577e-09,0.24520736002,-0.0013047128191,0.070258047249,-0.00057197836227
uag8814320,ok,,31.336858547,328302312.02,1530159.5705,6131363.9217,149865567.0,913794.84294,26863996.993,-3.798196711e-09,1.3629923929e-08,-2.5386413354e-08,-4.9900488799e-08,9.5184631504e-09,-5.2056907743e-09,4.7703551288e-08,4.4146057054e-08,-4.076559754e-10,-9.496326443e-08,-5.2103331475e-09,4.19392379e-08,-9.9624848445e-09,-4.7014730672e-09,-1.36547916e-08,0.23893608629,0.042624312859,0.14530894792,0.072994045552
ui1720,ok,,30.447702043,325964242.67,827408.80967,5009870.9569,159632909.29,519206.78181,26532062.609,-3.6953969226e-09,5.9707129458e-09,-3.6299439444e-08,-7.0012671856e-08,9.936766045e-09,8.9996484894e-09,6.4775511237e-08,5.0655883403e-08,-1.3514842233e-09,1.0534577289e-07,-1.7889419885e-08,3.9044722471e-08,-2.7078675059e-08,-1.9909589122e-08,-3.8347872444e-08,0.2265509408,0.031853201923,-0.087164020548,0.053595828649
usa22,ok,,30.042295336,321370599.35,470474.44478,2663862.8091,156641009.17,283443.89302,25259626.63,-4.6121297132e-09,1.4555760463e-08,-4.6412484901e-08,-1.1780858488e-07,1.1354487882e-08,5.3511109216e-09,1.098742037e-07,6.9335366898e-08,-1.2506987401e-09,-1.1715514527e-08,-3.5599453832e-08,5.9764235911e-08,-6.2381949703e-08,-1.9107063732e-08,-6.4392672132e-08,0.23240001017,0.029160254012,0.0055118501923,0.051693004979
us1000root,ok,,31.754139469,331591631.06,2188577.4385,7777290.5647,150960569.57,1240579.6674,27757207.748,-1.6865525814e-15,8.6927874111e-09,-2.1420028305e-08,-1.6417528708e-13,8.5592302143e-09,5.8685808108e-14,-4.6767407035e-14,3.9068634807e-08,-3.603620478e-15,-3.7744035693e-09,-2.1825396143e-13,3.6529947916e-08,2.7623028953e-13,-3.3688931436e-09,-4.0081294793e-13,0.23758033122,8.5537985626e-08,0.0082605744953,-1.0235409189e-07
usa25,ok,,30.867802941,325948848.81,575781.81934,2694835.4072,152498826.45,340341.77615,26157491.716,-4.5259884744e-09,1.8440402297e-08,-4.1101980898e-08,-1.0906702014e-07,1.1623671845e-08,-8.1807299767e-10,9.7801661633e-08,6.6897188405e-08,-5.8897055012e-10,-1.483344005e-07,-1.2118639862e-08,6.3044684638e-08,-2.4838291844e-08,-7.8401210861e-09,-6.8725093448e-08,0.23714762157,0.031590696388,0.085408250989,0.056312418669
usa26,ok,,30.902010716,325427640.21,712415.32512,2949037.2117,151918528.18,399426.85551,26212643.706,-3.7133981809e-09,1.6815845864e-08,-3.728103295e-08,-8.0798372953e-08,1.0567856671e-08,8.5236044738e-10,6.9394785901e-08,6.4696873746e-08,-4.4819976336e-10,-9.4712007103e-08,-9.3726868069e-09,6.0575112997e-08,-1.7536583672e-08,-6.9015432395e-09,-4.6198564673e-08,0.23783342659,0.027893960894,0.067474285333,0.049437908959
usa27,ok,,31.211256787,327269269.12,960393.62721,3831845.4331,151230301.16,548122.10481,26694933.871,-3.7673803365e-09,1.5031806028e-08,-3.192781783e-08,-6.9747246379e-08,1.0421126877e-08,3.4756722489e-10,6.0627107089e-08,5.5846048739e-08,-3.5769136993e-10,-7.9910163801e-08,-5.4583466257e-09,5.3106345103e-08,-1.1196752896e-08,-4.663880289e-09,-3.8840127462e-08,0.23842430918,0.033169516532,0.076745212064,0.058225887284
usa28,ok,,31.184382168,323873136.27,1023702.2219,3543007.9129,146167517.82,646495.47679,25894668.769,-2.4382337807e-09,1.3540611362e-08,-2.899211249e-08,-3.5019503371e-08,8.9837166916e-09,8.3477458855e-10,4.0769711812e-08,5.3509362914e-08,1.8102116462e-10,3.2837816596e-08,5.6827474445e-09,5.597807693e-08,6.4762865504e-09,4.309791193e-09,3.5738875227e-09,0.23472430029,0.023182408449,-0.033616145813,0.041736044569
